Sea_Name,Date,Sea_Level_MM
Adriatic Sea,1993-01-06 00:00:00,-79.01
Persian Gulf,1993-01-06 00:00:00,82.33
Yellow Sea,1993-01-06 00:00:00,-37.51
South China,1993-01-14 00:00:00,8.0
Arabian Sea,1993-01-15 00:00:00,30.34
Baltic Sea,1993-01-15 00:00:00,-2.65
Bay Bengal,1993-01-15 00:00:00,-6.43
Bering Sea,1993-01-15 00:00:00,-40.95
Gulf Mexico,1993-01-15 00:00:00,-18.25
Indian Ocean,1993-01-15 00:00:00,1.87
Indonesian,1993-01-15 00:00:00,-19.09
Mediterranean,1993-01-15 00:00:00,-49.68
Nino,1993-01-15 00:00:00,-7.03
North Pacific,1993-01-15 00:00:00,-43.51
North Sea,1993-01-15 00:00:00,229.71
Pacific Ocean,1993-01-15 00:00:00,-33.18
Persian Gulf,1993-01-15 00:00:00,-52.87
Sea Japan,1993-01-15 00:00:00,1.55
Sea Okhotsk,1993-01-15 00:00:00,-31.49
Southern Ocean,1993-01-15 00:00:00,-10.33
Tropics,1993-01-15 00:00:00,-22.74
World,1993-01-15 00:00:00,-19.55
Yellow Sea,1993-01-15 00:00:00,-58.61
Adriatic Sea,1993-01-16 00:00:00,-52.71
Andaman Sea,1993-01-16 00:00:00,-114.94
Atlantic Ocean,1993-01-16 00:00:00,-9.91
Caribbean Sea,1993-01-16 00:00:00,-7.68
North Atlantic,1993-01-16 00:00:00,-8.43
Arabian Sea,1993-01-24 00:00:00,8.64
Baltic Sea,1993-01-24 00:00:00,379.85
Bay Bengal,1993-01-24 00:00:00,-30.23
Bering Sea,1993-01-24 00:00:00,-57.35
South China,1993-01-24 00:00:00,12.3
Andaman Sea,1993-01-25 00:00:00,-105.74
Atlantic Ocean,1993-01-25 00:00:00,-19.11
Caribbean Sea,1993-01-25 00:00:00,-13.98
Gulf Mexico,1993-01-25 00:00:00,-28.65
Indian Ocean,1993-01-25 00:00:00,-8.43
Indonesian,1993-01-25 00:00:00,-8.39
Mediterranean,1993-01-25 00:00:00,-90.98
Nino,1993-01-25 00:00:00,-11.83
North Atlantic,1993-01-25 00:00:00,-35.63
North Pacific,1993-01-25 00:00:00,-61.21
North Sea,1993-01-25 00:00:00,145.11
Pacific Ocean,1993-01-25 00:00:00,-33.88
Persian Gulf,1993-01-25 00:00:00,-74.97
Sea Japan,1993-01-25 00:00:00,-96.45
Sea Okhotsk,1993-01-25 00:00:00,-35.39
Southern Ocean,1993-01-25 00:00:00,-13.03
Tropics,1993-01-25 00:00:00,-24.84
World,1993-01-25 00:00:00,-24.95
Adriatic Sea,1993-01-26 00:00:00,-118.91
Yellow Sea,1993-01-26 00:00:00,-96.11
Baltic Sea,1993-02-04 00:00:00,495.15
North Sea,1993-02-04 00:00:00,81.41
Adriatic Sea,1993-02-05 00:00:00,-85.81
Andaman Sea,1993-02-05 00:00:00,-158.54
Arabian Sea,1993-02-05 00:00:00,-4.06
Atlantic Ocean,1993-02-05 00:00:00,-23.01
Bay Bengal,1993-02-05 00:00:00,-41.63
Bering Sea,1993-02-05 00:00:00,-7.45
Gulf Mexico,1993-02-05 00:00:00,-18.65
Indian Ocean,1993-02-05 00:00:00,-19.73
Indonesian,1993-02-05 00:00:00,24.81
Mediterranean,1993-02-05 00:00:00,-66.28
Nino,1993-02-05 00:00:00,-18.03
North Atlantic,1993-02-05 00:00:00,-35.73
North Pacific,1993-02-05 00:00:00,-82.41
Pacific Ocean,1993-02-05 00:00:00,-35.68
Persian Gulf,1993-02-05 00:00:00,-31.37
Sea Japan,1993-02-05 00:00:00,-137.05
Sea Okhotsk,1993-02-05 00:00:00,-37.39
South China,1993-02-05 00:00:00,-17.7
Southern Ocean,1993-02-05 00:00:00,-14.03
Tropics,1993-02-05 00:00:00,-29.44
World,1993-02-05 00:00:00,-29.05
Yellow Sea,1993-02-05 00:00:00,-146.51
Caribbean Sea,1993-02-06 00:00:00,-35.38
Arabian Sea,1993-02-13 00:00:00,8.44
Baltic Sea,1993-02-13 00:00:00,317.05
Bay Bengal,1993-02-13 00:00:00,-55.83
Caribbean Sea,1993-02-13 00:00:00,-35.18
Indian Ocean,1993-02-13 00:00:00,-14.23
Mediterranean,1993-02-13 00:00:00,-157.88
North Sea,1993-02-13 00:00:00,48.81
Pacific Ocean,1993-02-13 00:00:00,-29.78
Sea Okhotsk,1993-02-13 00:00:00,-15.59
South China,1993-02-13 00:00:00,-72.9
Andaman Sea,1993-02-14 00:00:00,-190.64
Atlantic Ocean,1993-02-14 00:00:00,-25.61
Bering Sea,1993-02-14 00:00:00,-3.85
Gulf Mexico,1993-02-14 00:00:00,-46.55
Indonesian,1993-02-14 00:00:00,9.11
Nino,1993-02-14 00:00:00,-20.83
North Atlantic,1993-02-14 00:00:00,-37.73
North Pacific,1993-02-14 00:00:00,-63.81
Persian Gulf,1993-02-14 00:00:00,-100.57
Sea Japan,1993-02-14 00:00:00,-122.05
Southern Ocean,1993-02-14 00:00:00,-8.63
Tropics,1993-02-14 00:00:00,-30.44
World,1993-02-14 00:00:00,-27.35
Yellow Sea,1993-02-14 00:00:00,-105.01
Adriatic Sea,1993-02-15 00:00:00,-188.61
North Sea,1993-02-23 00:00:00,6.31
South China,1993-02-23 00:00:00,-70.6
Arabian Sea,1993-02-24 00:00:00,24.14
Atlantic Ocean,1993-02-24 00:00:00,-24.61
Baltic Sea,1993-02-24 00:00:00,184.75
Bay Bengal,1993-02-24 00:00:00,-56.63
Bering Sea,1993-02-24 00:00:00,-17.05
Gulf Mexico,1993-02-24 00:00:00,-27.65
Indian Ocean,1993-02-24 00:00:00,-3.53
Indonesian,1993-02-24 00:00:00,5.01
Mediterranean,1993-02-24 00:00:00,-134.68
Nino,1993-02-24 00:00:00,-16.83
North Atlantic,1993-02-24 00:00:00,-51.83
North Pacific,1993-02-24 00:00:00,-57.61
Pacific Ocean,1993-02-24 00:00:00,-23.28
Persian Gulf,1993-02-24 00:00:00,-70.07
Sea Japan,1993-02-24 00:00:00,-73.75
Sea Okhotsk,1993-02-24 00:00:00,6.71
Southern Ocean,1993-02-24 00:00:00,0.97
Tropics,1993-02-24 00:00:00,-23.04
World,1993-02-24 00:00:00,-21.55
Yellow Sea,1993-02-24 00:00:00,-133.31
Adriatic Sea,1993-02-25 00:00:00,-127.81
Andaman Sea,1993-02-25 00:00:00,-158.54
Caribbean Sea,1993-02-25 00:00:00,-40.38
Baltic Sea,1993-03-05 00:00:00,3.25
North Sea,1993-03-05 00:00:00,-116.99
Sea Okhotsk,1993-03-05 00:00:00,-14.29
Andaman Sea,1993-03-06 00:00:00,-171.44
Arabian Sea,1993-03-06 00:00:00,26.34
Atlantic Ocean,1993-03-06 00:00:00,-23.71
Bay Bengal,1993-03-06 00:00:00,-42.13
Bering Sea,1993-03-06 00:00:00,-13.05
Caribbean Sea,1993-03-06 00:00:00,-55.98
Gulf Mexico,1993-03-06 00:00:00,-60.45
Indian Ocean,1993-03-06 00:00:00,-7.53
Indonesian,1993-03-06 00:00:00,-29.69
Mediterranean,1993-03-06 00:00:00,-57.58
Nino,1993-03-06 00:00:00,-8.13
North Atlantic,1993-03-06 00:00:00,-59.73
North Pacific,1993-03-06 00:00:00,-43.21
Pacific Ocean,1993-03-06 00:00:00,-16.48
Persian Gulf,1993-03-06 00:00:00,14.03
Sea Japan,1993-03-06 00:00:00,-84.35
South China,1993-03-06 00:00:00,-29.9
Southern Ocean,1993-03-06 00:00:00,-0.13
Tropics,1993-03-06 00:00:00,-18.64
World,1993-03-06 00:00:00,-18.65
Adriatic Sea,1993-03-07 00:00:00,-58.21
Yellow Sea,1993-03-07 00:00:00,-106.91
Baltic Sea,1993-03-15 00:00:00,-122.15
North Sea,1993-03-15 00:00:00,36.31
Andaman Sea,1993-03-16 00:00:00,-104.04
Arabian Sea,1993-03-16 00:00:00,41.84
Atlantic Ocean,1993-03-16 00:00:00,-21.61
Bay Bengal,1993-03-16 00:00:00,-49.13
Bering Sea,1993-03-16 00:00:00,-10.45
Caribbean Sea,1993-03-16 00:00:00,-47.98
Gulf Mexico,1993-03-16 00:00:00,-91.45
Indian Ocean,1993-03-16 00:00:00,-4.83
Indonesian,1993-03-16 00:00:00,-30.29
Mediterranean,1993-03-16 00:00:00,-74.28
Nino,1993-03-16 00:00:00,-7.23
North Atlantic,1993-03-16 00:00:00,-55.13
North Pacific,1993-03-16 00:00:00,-53.81
Pacific Ocean,1993-03-16 00:00:00,-19.68
Persian Gulf,1993-03-16 00:00:00,-37.97
Sea Japan,1993-03-16 00:00:00,-57.05
Sea Okhotsk,1993-03-16 00:00:00,24.31
South China,1993-03-16 00:00:00,-66.9
Southern Ocean,1993-03-16 00:00:00,2.17
Tropics,1993-03-16 00:00:00,-19.54
World,1993-03-16 00:00:00,-19.15
Yellow Sea,1993-03-16 00:00:00,-48.81
Adriatic Sea,1993-03-18 00:00:00,-121.01
Baltic Sea,1993-03-25 00:00:00,142.65
Bay Bengal,1993-03-25 00:00:00,-54.73
North Sea,1993-03-25 00:00:00,28.51
South China,1993-03-25 00:00:00,-56.5
Andaman Sea,1993-03-26 00:00:00,-114.84
Arabian Sea,1993-03-26 00:00:00,26.84
Atlantic Ocean,1993-03-26 00:00:00,-34.21
Bering Sea,1993-03-26 00:00:00,-29.35
Caribbean Sea,1993-03-26 00:00:00,-66.18
Gulf Mexico,1993-03-26 00:00:00,-77.25
Indian Ocean,1993-03-26 00:00:00,-15.83
Indonesian,1993-03-26 00:00:00,-34.59
Mediterranean,1993-03-26 00:00:00,-133.98
Nino,1993-03-26 00:00:00,-9.93
North Atlantic,1993-03-26 00:00:00,-73.03
North Pacific,1993-03-26 00:00:00,-44.81
Pacific Ocean,1993-03-26 00:00:00,-15.08
Persian Gulf,1993-03-26 00:00:00,-80.27
Sea Japan,1993-03-26 00:00:00,-38.05
Sea Okhotsk,1993-03-26 00:00:00,-12.99
Southern Ocean,1993-03-26 00:00:00,-3.33
Tropics,1993-03-26 00:00:00,-22.64
World,1993-03-26 00:00:00,-22.65
Adriatic Sea,1993-03-27 00:00:00,-168.81
Yellow Sea,1993-03-27 00:00:00,-78.71
Andaman Sea,1993-04-14 00:00:00,-74.24
Arabian Sea,1993-04-14 00:00:00,44.64
Baltic Sea,1993-04-14 00:00:00,-249.25
Bay Bengal,1993-04-14 00:00:00,-40.63
Mediterranean,1993-04-14 00:00:00,-94.28
North Sea,1993-04-14 00:00:00,-150.09
Persian Gulf,1993-04-14 00:00:00,-98.57
Sea Japan,1993-04-14 00:00:00,-21.55
Sea Okhotsk,1993-04-14 00:00:00,-39.29
South China,1993-04-14 00:00:00,-31.8
Atlantic Ocean,1993-04-15 00:00:00,-27.31
Bering Sea,1993-04-15 00:00:00,-31.55
Caribbean Sea,1993-04-15 00:00:00,-41.28
Gulf Mexico,1993-04-15 00:00:00,-41.25
Indian Ocean,1993-04-15 00:00:00,-30.53
Indonesian,1993-04-15 00:00:00,-58.79
Nino,1993-04-15 00:00:00,-12.43
North Atlantic,1993-04-15 00:00:00,-61.63
North Pacific,1993-04-15 00:00:00,-47.31
Pacific Ocean,1993-04-15 00:00:00,-20.88
Southern Ocean,1993-04-15 00:00:00,-11.93
Tropics,1993-04-15 00:00:00,-23.84
World,1993-04-15 00:00:00,-25.95
Yellow Sea,1993-04-15 00:00:00,-72.61
Adriatic Sea,1993-04-16 00:00:00,-104.51
Baltic Sea,1993-04-23 00:00:00,-213.05
Andaman Sea,1993-04-24 00:00:00,-23.24
Bay Bengal,1993-04-24 00:00:00,-7.23
Indian Ocean,1993-04-24 00:00:00,-17.53
Mediterranean,1993-04-24 00:00:00,-79.08
Nino,1993-04-24 00:00:00,-7.13
North Sea,1993-04-24 00:00:00,-99.69
Pacific Ocean,1993-04-24 00:00:00,-12.88
Persian Gulf,1993-04-24 00:00:00,-57.57
Sea Japan,1993-04-24 00:00:00,-19.25
South China,1993-04-24 00:00:00,-98.3
Southern Ocean,1993-04-24 00:00:00,-7.43
Tropics,1993-04-24 00:00:00,-15.64
World,1993-04-24 00:00:00,-19.75
Adriatic Sea,1993-04-25 00:00:00,-91.11
Arabian Sea,1993-04-25 00:00:00,64.54
Atlantic Ocean,1993-04-25 00:00:00,-28.61
Bering Sea,1993-04-25 00:00:00,-20.45
Caribbean Sea,1993-04-25 00:00:00,-39.18
Gulf Mexico,1993-04-25 00:00:00,-63.45
Indonesian,1993-04-25 00:00:00,-69.29
North Atlantic,1993-04-25 00:00:00,-69.73
North Pacific,1993-04-25 00:00:00,-37.51
Sea Okhotsk,1993-04-25 00:00:00,-23.69
Yellow Sea,1993-04-25 00:00:00,-52.91
Andaman Sea,1993-05-04 00:00:00,-10.74
Arabian Sea,1993-05-04 00:00:00,75.24
Atlantic Ocean,1993-05-04 00:00:00,-29.31
Baltic Sea,1993-05-04 00:00:00,-141.45
Bay Bengal,1993-05-04 00:00:00,24.77
Gulf Mexico,1993-05-04 00:00:00,-57.65
Indian Ocean,1993-05-04 00:00:00,1.27
Indonesian,1993-05-04 00:00:00,-91.19
Mediterranean,1993-05-04 00:00:00,-55.08
Nino,1993-05-04 00:00:00,-13.53
North Pacific,1993-05-04 00:00:00,-39.61
North Sea,1993-05-04 00:00:00,-102.59
Pacific Ocean,1993-05-04 00:00:00,-19.68
Persian Gulf,1993-05-04 00:00:00,-48.87
Sea Japan,1993-05-04 00:00:00,-56.95
Sea Okhotsk,1993-05-04 00:00:00,-32.79
South China,1993-05-04 00:00:00,-80.3
Southern Ocean,1993-05-04 00:00:00,-4.93
Tropics,1993-05-04 00:00:00,-16.24
World,1993-05-04 00:00:00,-19.55
Adriatic Sea,1993-05-05 00:00:00,-66.61
Bering Sea,1993-05-05 00:00:00,-29.65
Caribbean Sea,1993-05-05 00:00:00,-44.78
North Atlantic,1993-05-05 00:00:00,-68.73
Yellow Sea,1993-05-05 00:00:00,-36.51
Baltic Sea,1993-05-13 00:00:00,-210.25
Andaman Sea,1993-05-14 00:00:00,28.36
Arabian Sea,1993-05-14 00:00:00,74.74
Atlantic Ocean,1993-05-14 00:00:00,-20.21
Bay Bengal,1993-05-14 00:00:00,21.97
Bering Sea,1993-05-14 00:00:00,-3.35
Gulf Mexico,1993-05-14 00:00:00,-38.25
Indian Ocean,1993-05-14 00:00:00,-0.03
Indonesian,1993-05-14 00:00:00,-101.39
Mediterranean,1993-05-14 00:00:00,-50.18
Nino,1993-05-14 00:00:00,-11.43
North Pacific,1993-05-14 00:00:00,-38.01
North Sea,1993-05-14 00:00:00,-144.89
Pacific Ocean,1993-05-14 00:00:00,-18.08
Persian Gulf,1993-05-14 00:00:00,-83.57
Sea Japan,1993-05-14 00:00:00,-41.35
Sea Okhotsk,1993-05-14 00:00:00,-25.59
South China,1993-05-14 00:00:00,-83.5
Southern Ocean,1993-05-14 00:00:00,-6.83
Tropics,1993-05-14 00:00:00,-12.94
World,1993-05-14 00:00:00,-16.85
Adriatic Sea,1993-05-15 00:00:00,-62.41
Caribbean Sea,1993-05-15 00:00:00,-45.18
North Atlantic,1993-05-15 00:00:00,-55.73
Yellow Sea,1993-05-15 00:00:00,-34.31
Baltic Sea,1993-05-23 00:00:00,-261.25
Andaman Sea,1993-05-24 00:00:00,-5.64
Arabian Sea,1993-05-24 00:00:00,68.74
Atlantic Ocean,1993-05-24 00:00:00,-28.21
Bay Bengal,1993-05-24 00:00:00,34.37
Bering Sea,1993-05-24 00:00:00,-12.95
Caribbean Sea,1993-05-24 00:00:00,-36.98
Gulf Mexico,1993-05-24 00:00:00,-26.45
Indian Ocean,1993-05-24 00:00:00,-4.63
Indonesian,1993-05-24 00:00:00,-108.29
Mediterranean,1993-05-24 00:00:00,-36.28
Nino,1993-05-24 00:00:00,-17.43
North Atlantic,1993-05-24 00:00:00,-52.13
North Pacific,1993-05-24 00:00:00,-50.81
North Sea,1993-05-24 00:00:00,-78.69
Pacific Ocean,1993-05-24 00:00:00,-22.18
Persian Gulf,1993-05-24 00:00:00,-116.77
Sea Japan,1993-05-24 00:00:00,-49.65
Sea Okhotsk,1993-05-24 00:00:00,-14.59
South China,1993-05-24 00:00:00,-85.5
Southern Ocean,1993-05-24 00:00:00,-15.93
Tropics,1993-05-24 00:00:00,-16.54
World,1993-05-24 00:00:00,-21.75
Yellow Sea,1993-05-25 00:00:00,-60.81
Adriatic Sea,1993-05-27 00:00:00,-60.61
Baltic Sea,1993-06-02 00:00:00,-195.95
Andaman Sea,1993-06-03 00:00:00,44.16
Arabian Sea,1993-06-03 00:00:00,58.54
Atlantic Ocean,1993-06-03 00:00:00,-41.01
Bay Bengal,1993-06-03 00:00:00,25.47
Gulf Mexico,1993-06-03 00:00:00,-35.75
Indian Ocean,1993-06-03 00:00:00,-11.63
Indonesian,1993-06-03 00:00:00,-111.29
Mediterranean,1993-06-03 00:00:00,-40.48
Nino,1993-06-03 00:00:00,-29.83
North Atlantic,1993-06-03 00:00:00,-58.33
North Pacific,1993-06-03 00:00:00,-50.01
North Sea,1993-06-03 00:00:00,-61.29
Pacific Ocean,1993-06-03 00:00:00,-22.08
Persian Gulf,1993-06-03 00:00:00,-72.37
Sea Japan,1993-06-03 00:00:00,-38.05
Sea Okhotsk,1993-06-03 00:00:00,-14.89
South China,1993-06-03 00:00:00,-106.7
Southern Ocean,1993-06-03 00:00:00,-20.23
Tropics,1993-06-03 00:00:00,-23.44
World,1993-06-03 00:00:00,-26.45
Adriatic Sea,1993-06-04 00:00:00,-48.41
Bering Sea,1993-06-04 00:00:00,-10.85
Caribbean Sea,1993-06-04 00:00:00,-37.38
Yellow Sea,1993-06-04 00:00:00,-60.11
Baltic Sea,1993-06-12 00:00:00,-106.55
Bay Bengal,1993-06-12 00:00:00,16.87
Andaman Sea,1993-06-13 00:00:00,82.86
Arabian Sea,1993-06-13 00:00:00,37.94
Atlantic Ocean,1993-06-13 00:00:00,-31.61
Bering Sea,1993-06-13 00:00:00,-2.15
Caribbean Sea,1993-06-13 00:00:00,-7.68
Gulf Mexico,1993-06-13 00:00:00,0.15
Indian Ocean,1993-06-13 00:00:00,-15.33
Indonesian,1993-06-13 00:00:00,-107.99
Mediterranean,1993-06-13 00:00:00,-41.78
Nino,1993-06-13 00:00:00,-29.13
North Atlantic,1993-06-13 00:00:00,-40.63
North Pacific,1993-06-13 00:00:00,-36.11
North Sea,1993-06-13 00:00:00,-59.59
Pacific Ocean,1993-06-13 00:00:00,-19.98
Persian Gulf,1993-06-13 00:00:00,-81.07
Sea Japan,1993-06-13 00:00:00,-99.75
Sea Okhotsk,1993-06-13 00:00:00,-37.19
South China,1993-06-13 00:00:00,-95.4
Southern Ocean,1993-06-13 00:00:00,-26.23
Tropics,1993-06-13 00:00:00,-18.54
World,1993-06-13 00:00:00,-23.45
Adriatic Sea,1993-06-14 00:00:00,-60.21
Yellow Sea,1993-06-14 00:00:00,-58.11
Baltic Sea,1993-06-22 00:00:00,-4.55
North Sea,1993-06-22 00:00:00,-39.59
Sea Okhotsk,1993-06-22 00:00:00,-18.19
Andaman Sea,1993-06-23 00:00:00,63.66
Arabian Sea,1993-06-23 00:00:00,28.04
Atlantic Ocean,1993-06-23 00:00:00,-38.61
Bay Bengal,1993-06-23 00:00:00,17.87
Bering Sea,1993-06-23 00:00:00,20.65
Caribbean Sea,1993-06-23 00:00:00,-34.58
Gulf Mexico,1993-06-23 00:00:00,8.95
Indian Ocean,1993-06-23 00:00:00,-17.23
Indonesian,1993-06-23 00:00:00,-113.89
Mediterranean,1993-06-23 00:00:00,-45.08
Nino,1993-06-23 00:00:00,-26.53
North Atlantic,1993-06-23 00:00:00,-45.73
North Pacific,1993-06-23 00:00:00,-20.51
Pacific Ocean,1993-06-23 00:00:00,-5.98
Persian Gulf,1993-06-23 00:00:00,-100.37
Sea Japan,1993-06-23 00:00:00,-90.15
South China,1993-06-23 00:00:00,-96.8
Southern Ocean,1993-06-23 00:00:00,-17.83
Tropics,1993-06-23 00:00:00,-16.54
World,1993-06-23 00:00:00,-18.65
Adriatic Sea,1993-06-24 00:00:00,-69.51
Yellow Sea,1993-06-24 00:00:00,-42.71
Baltic Sea,1993-06-30 00:00:00,82.55
Persian Gulf,1993-06-30 00:00:00,16.93
Adriatic Sea,1993-07-01 00:00:00,-89.61
Andaman Sea,1993-07-02 00:00:00,70.06
Bay Bengal,1993-07-02 00:00:00,14.07
Gulf Mexico,1993-07-02 00:00:00,-0.35
Indonesian,1993-07-02 00:00:00,-119.79
Mediterranean,1993-07-02 00:00:00,-36.48
North Sea,1993-07-02 00:00:00,-13.49
Sea Japan,1993-07-02 00:00:00,-59.55
Sea Okhotsk,1993-07-02 00:00:00,-17.89
South China,1993-07-02 00:00:00,-75.0
Arabian Sea,1993-07-03 00:00:00,24.84
Atlantic Ocean,1993-07-03 00:00:00,-30.61
Bering Sea,1993-07-03 00:00:00,13.55
Caribbean Sea,1993-07-03 00:00:00,-24.98
Indian Ocean,1993-07-03 00:00:00,-5.83
Nino,1993-07-03 00:00:00,-21.63
North Atlantic,1993-07-03 00:00:00,-29.93
North Pacific,1993-07-03 00:00:00,-15.51
Pacific Ocean,1993-07-03 00:00:00,-8.88
Southern Ocean,1993-07-03 00:00:00,-15.53
Tropics,1993-07-03 00:00:00,-14.14
World,1993-07-03 00:00:00,-15.35
Yellow Sea,1993-07-03 00:00:00,-10.01
Andaman Sea,1993-07-12 00:00:00,64.16
Baltic Sea,1993-07-12 00:00:00,121.45
Bay Bengal,1993-07-12 00:00:00,22.07
Mediterranean,1993-07-12 00:00:00,-42.28
North Sea,1993-07-12 00:00:00,-74.59
Sea Okhotsk,1993-07-12 00:00:00,-13.89
Arabian Sea,1993-07-13 00:00:00,4.44
Atlantic Ocean,1993-07-13 00:00:00,-29.21
Bering Sea,1993-07-13 00:00:00,10.25
Caribbean Sea,1993-07-13 00:00:00,-7.88
Gulf Mexico,1993-07-13 00:00:00,14.65
Indian Ocean,1993-07-13 00:00:00,-8.63
Indonesian,1993-07-13 00:00:00,-122.49
Nino,1993-07-13 00:00:00,-16.13
North Atlantic,1993-07-13 00:00:00,-17.43
North Pacific,1993-07-13 00:00:00,-2.01
Pacific Ocean,1993-07-13 00:00:00,-9.88
Persian Gulf,1993-07-13 00:00:00,-33.07
Sea Japan,1993-07-13 00:00:00,-18.85
South China,1993-07-13 00:00:00,-66.4
Southern Ocean,1993-07-13 00:00:00,-33.43
Tropics,1993-07-13 00:00:00,-8.44
World,1993-07-13 00:00:00,-15.95
Yellow Sea,1993-07-13 00:00:00,5.29
Adriatic Sea,1993-07-14 00:00:00,-91.81
Baltic Sea,1993-08-01 00:00:00,104.45
Bay Bengal,1993-08-01 00:00:00,-35.13
Bering Sea,1993-08-01 00:00:00,45.15
Indonesian,1993-08-01 00:00:00,-139.39
Mediterranean,1993-08-01 00:00:00,-15.08
North Sea,1993-08-01 00:00:00,-44.59
Persian Gulf,1993-08-01 00:00:00,-83.47
Sea Okhotsk,1993-08-01 00:00:00,-4.39
South China,1993-08-01 00:00:00,-79.3
Adriatic Sea,1993-08-02 00:00:00,-39.51
Andaman Sea,1993-08-02 00:00:00,68.86
Arabian Sea,1993-08-02 00:00:00,-62.56
Atlantic Ocean,1993-08-02 00:00:00,-23.51
Caribbean Sea,1993-08-02 00:00:00,2.22
Gulf Mexico,1993-08-02 00:00:00,28.25
Indian Ocean,1993-08-02 00:00:00,-41.13
Nino,1993-08-02 00:00:00,-36.73
North Atlantic,1993-08-02 00:00:00,-1.83
North Pacific,1993-08-02 00:00:00,16.59
Pacific Ocean,1993-08-02 00:00:00,-13.08
Sea Japan,1993-08-02 00:00:00,-61.65
Southern Ocean,1993-08-02 00:00:00,-45.53
Tropics,1993-08-02 00:00:00,-19.64
World,1993-08-02 00:00:00,-22.75
Yellow Sea,1993-08-02 00:00:00,58.09
Baltic Sea,1993-08-11 00:00:00,78.15
Mediterranean,1993-08-11 00:00:00,-20.18
North Sea,1993-08-11 00:00:00,-23.79
Sea Okhotsk,1993-08-11 00:00:00,-1.59
South China,1993-08-11 00:00:00,-64.2
Adriatic Sea,1993-08-12 00:00:00,-44.91
Andaman Sea,1993-08-12 00:00:00,77.96
Arabian Sea,1993-08-12 00:00:00,-63.26
