Country,ISO3,Date,Temp_Change
Mexico,MEX,1961-01-01 00:00:00,-0.145
Monaco,MCO,1961-01-01 00:00:00,0.739
Mongolia,MNG,1961-01-01 00:00:00,0.17
Montserrat,MSR,1961-01-01 00:00:00,0.09
Morocco,MAR,1961-01-01 00:00:00,0.57
"Mozambique, Rep. of",MOZ,1961-01-01 00:00:00,0.391
Myanmar,MMR,1961-01-01 00:00:00,-0.024
Namibia,NAM,1961-01-01 00:00:00,0.184
"Nauru, Rep. of",NRU,1961-01-01 00:00:00,-0.404
Nepal,NPL,1961-01-01 00:00:00,0.13
"Netherlands, The",NLD,1961-01-01 00:00:00,0.852
New Caledonia,NCL,1961-01-01 00:00:00,-0.248
New Zealand,NZL,1961-01-01 00:00:00,-0.282
Nicaragua,NIC,1961-01-01 00:00:00,-0.089
Niger,NER,1961-01-01 00:00:00,-0.694
Nigeria,NGA,1961-01-01 00:00:00,-0.241
Niue,NIU,1961-01-01 00:00:00,0.285
Norfolk Island,NFK,1961-01-01 00:00:00,-0.315
Norway,NOR,1961-01-01 00:00:00,1.239
Oman,OMN,1961-01-01 00:00:00,-0.274
Pakistan,PAK,1961-01-01 00:00:00,-0.272
Papua New Guinea,PNG,1961-01-01 00:00:00,-0.162
Paraguay,PRY,1961-01-01 00:00:00,0.563
Peru,PER,1961-01-01 00:00:00,0.001
Philippines,PHL,1961-01-01 00:00:00,-0.143
Pitcairn Islands,PCN,1961-01-01 00:00:00,0.579
"Poland, Rep. of",POL,1961-01-01 00:00:00,1.397
Portugal,PRT,1961-01-01 00:00:00,0.815
Puerto Rico,PRI,1961-01-01 00:00:00,-0.011
Qatar,QAT,1961-01-01 00:00:00,-0.542
Romania,ROU,1961-01-01 00:00:00,1.075
Rwanda,RWA,1961-01-01 00:00:00,-0.019
Saint Helena,SHN,1961-01-01 00:00:00,0.144
Saint Pierre and Miquelon,SPM,1961-01-01 00:00:00,-0.04
Samoa,WSM,1961-01-01 00:00:00,0.067
"San Marino, Rep. of",SMR,1961-01-01 00:00:00,0.925
"São Tomé and Príncipe, Dem. Rep. of",STP,1961-01-01 00:00:00,-0.108
Saudi Arabia,SAU,1961-01-01 00:00:00,-0.157
Senegal,SEN,1961-01-01 00:00:00,-0.185
Seychelles,SYC,1961-01-01 00:00:00,0.317
Sierra Leone,SLE,1961-01-01 00:00:00,-0.101
Solomon Islands,SLB,1961-01-01 00:00:00,0.097
Somalia,SOM,1961-01-01 00:00:00,0.333
South Africa,ZAF,1961-01-01 00:00:00,0.251
Spain,ESP,1961-01-01 00:00:00,0.728
Sri Lanka,LKA,1961-01-01 00:00:00,-0.105
St. Kitts and Nevis,KNA,1961-01-01 00:00:00,0.09
St. Lucia,LCA,1961-01-01 00:00:00,0.049
St. Vincent and the Grenadines,VCT,1961-01-01 00:00:00,0.108
Suriname,SUR,1961-01-01 00:00:00,-0.067
Sweden,SWE,1961-01-01 00:00:00,1.563
Switzerland,CHE,1961-01-01 00:00:00,0.988
Syrian Arab Rep.,SYR,1961-01-01 00:00:00,-0.025
Taiwan Province of China,TWN,1961-01-01 00:00:00,0.158
"Tanzania, United Rep. of",TZA,1961-01-01 00:00:00,0.334
Thailand,THA,1961-01-01 00:00:00,-0.176
"Timor-Leste, Dem. Rep. of",TLS,1961-01-01 00:00:00,-0.367
Togo,TGO,1961-01-01 00:00:00,-0.066
Tokelau,TKL,1961-01-01 00:00:00,-0.044
Tonga,TON,1961-01-01 00:00:00,0.333
Trinidad and Tobago,TTO,1961-01-01 00:00:00,0.188
Tunisia,TUN,1961-01-01 00:00:00,0.274
Turks and Caicos Islands,TCA,1961-01-01 00:00:00,0.154
Tuvalu,TUV,1961-01-01 00:00:00,-0.071
Uganda,UGA,1961-01-01 00:00:00,-0.032
United Arab Emirates,ARE,1961-01-01 00:00:00,-0.285
United Kingdom,GBR,1961-01-01 00:00:00,0.491
United States,USA,1961-01-01 00:00:00,0.003
United States Virgin Islands,VIR,1961-01-01 00:00:00,0.069
Uruguay,URY,1961-01-01 00:00:00,0.398
Vanuatu,VUT,1961-01-01 00:00:00,0.168
"Venezuela, Rep. Bolivariana de",VEN,1961-01-01 00:00:00,0.072
Vietnam,VNM,1961-01-01 00:00:00,0.014
Wallis and Futuna Islands,WLF,1961-01-01 00:00:00,0.323
West Bank and Gaza,PSE,1961-01-01 00:00:00,-0.11
Western Sahara,ESH,1961-01-01 00:00:00,0.632
World,WLD,1961-01-01 00:00:00,0.211
"Yemen, Rep. of",YEM,1961-01-01 00:00:00,0.029
Zambia,ZMB,1961-01-01 00:00:00,0.228
Zimbabwe,ZWE,1961-01-01 00:00:00,0.267
"Afghanistan, Islamic Rep. of",AFG,1962-01-01 00:00:00,-0.164
Albania,ALB,1962-01-01 00:00:00,0.326
Algeria,DZA,1962-01-01 00:00:00,0.114
American Samoa,ASM,1962-01-01 00:00:00,-0.042
"Andorra, Principality of",AND,1962-01-01 00:00:00,0.112
Angola,AGO,1962-01-01 00:00:00,-0.152
Anguilla,AIA,1962-01-01 00:00:00,-0.024
Antigua and Barbuda,ATG,1962-01-01 00:00:00,0.031
Argentina,ARG,1962-01-01 00:00:00,-0.046
"Aruba, Kingdom of the Netherlands",ABW,1962-01-01 00:00:00,0.138
Australia,AUS,1962-01-01 00:00:00,0.126
Austria,AUT,1962-01-01 00:00:00,-0.621
"Bahamas, The",BHS,1962-01-01 00:00:00,-0.062
"Bahrain, Kingdom of",BHR,1962-01-01 00:00:00,0.397
Bangladesh,BGD,1962-01-01 00:00:00,-0.265
Barbados,BRB,1962-01-01 00:00:00,0.094
Belize,BLZ,1962-01-01 00:00:00,-0.137
Benin,BEN,1962-01-01 00:00:00,-0.24
Bhutan,BTN,1962-01-01 00:00:00,-0.292
Bolivia,BOL,1962-01-01 00:00:00,0.012
Botswana,BWA,1962-01-01 00:00:00,0.262
Brazil,BRA,1962-01-01 00:00:00,-0.184
British Virgin Islands,VGB,1962-01-01 00:00:00,-0.072
Brunei Darussalam,BRN,1962-01-01 00:00:00,-0.017
Bulgaria,BGR,1962-01-01 00:00:00,0.488
Burkina Faso,BFA,1962-01-01 00:00:00,-0.208
Burundi,BDI,1962-01-01 00:00:00,-0.502
Cabo Verde,CPV,1962-01-01 00:00:00,0.219
Cambodia,KHM,1962-01-01 00:00:00,-0.134
Cameroon,CMR,1962-01-01 00:00:00,-0.218
Canada,CAN,1962-01-01 00:00:00,-0.118
Cayman Islands,CYM,1962-01-01 00:00:00,-0.153
Central African Rep.,CAF,1962-01-01 00:00:00,-0.306
Chad,TCD,1962-01-01 00:00:00,-0.26
Chile,CHL,1962-01-01 00:00:00,0.249
"China, P.R.: Hong Kong",HKG,1962-01-01 00:00:00,-0.056
"China, P.R.: Macao",MAC,1962-01-01 00:00:00,-0.056
"China, P.R.: Mainland",CHN,1962-01-01 00:00:00,-0.141
Colombia,COL,1962-01-01 00:00:00,-0.133
"Comoros, Union of the",COM,1962-01-01 00:00:00,0.001
"Congo, Dem. Rep. of the",COD,1962-01-01 00:00:00,-0.172
"Congo, Rep. of",COG,1962-01-01 00:00:00,-0.053
Cook Islands,COK,1962-01-01 00:00:00,-0.064
Cuba,CUB,1962-01-01 00:00:00,-0.07
Cyprus,CYP,1962-01-01 00:00:00,0.789
Denmark,DNK,1962-01-01 00:00:00,-0.641
Djibouti,DJI,1962-01-01 00:00:00,-0.207
Dominica,DMA,1962-01-01 00:00:00,0.146
Dominican Rep.,DOM,1962-01-01 00:00:00,-0.07
Ecuador,ECU,1962-01-01 00:00:00,-0.218
"Egypt, Arab Rep. of",EGY,1962-01-01 00:00:00,0.64
El Salvador,SLV,1962-01-01 00:00:00,-0.248
"Equatorial Guinea, Rep. of",GNQ,1962-01-01 00:00:00,-0.057
"Eswatini, Kingdom of",SWZ,1962-01-01 00:00:00,0.433
Falkland Islands (Malvinas),FLK,1962-01-01 00:00:00,0.401
Faroe Islands,FRO,1962-01-01 00:00:00,-0.48
"Fiji, Rep. of",FJI,1962-01-01 00:00:00,-0.083
Finland,FIN,1962-01-01 00:00:00,-0.339
France,FRA,1962-01-01 00:00:00,-0.301
French Polynesia,PYF,1962-01-01 00:00:00,-0.046
Gabon,GAB,1962-01-01 00:00:00,-0.063
"Gambia, The",GMB,1962-01-01 00:00:00,-0.047
Germany,DEU,1962-01-01 00:00:00,-0.75
Ghana,GHA,1962-01-01 00:00:00,-0.154
Gibraltar,GIB,1962-01-01 00:00:00,0.536
Greece,GRC,1962-01-01 00:00:00,0.619
Greenland,GRL,1962-01-01 00:00:00,0.842
Grenada,GRD,1962-01-01 00:00:00,0.053
Guadeloupe,GLP,1962-01-01 00:00:00,0.048
Guatemala,GTM,1962-01-01 00:00:00,-0.131
Guinea,GIN,1962-01-01 00:00:00,-0.137
Guinea-Bissau,GNB,1962-01-01 00:00:00,-0.071
Guyana,GUY,1962-01-01 00:00:00,-0.009
Haiti,HTI,1962-01-01 00:00:00,-0.049
Holy See,VAT,1962-01-01 00:00:00,0.079
Honduras,HND,1962-01-01 00:00:00,-0.162
Hungary,HUN,1962-01-01 00:00:00,-0.419
Iceland,ISL,1962-01-01 00:00:00,-0.27
India,IND,1962-01-01 00:00:00,-0.479
Indonesia,IDN,1962-01-01 00:00:00,-0.03
"Iran, Islamic Rep. of",IRN,1962-01-01 00:00:00,0.263
Iraq,IRQ,1962-01-01 00:00:00,0.885
Ireland,IRL,1962-01-01 00:00:00,-0.688
Isle of Man,IMN,1962-01-01 00:00:00,-0.746
Israel,ISR,1962-01-01 00:00:00,0.826
Italy,ITA,1962-01-01 00:00:00,0.025
Jamaica,JAM,1962-01-01 00:00:00,-0.038
Japan,JPN,1962-01-01 00:00:00,0.125
Jordan,JOR,1962-01-01 00:00:00,0.983
Kenya,KEN,1962-01-01 00:00:00,-0.242
Kiribati,KIR,1962-01-01 00:00:00,-0.132
"Korea, Dem. People's Rep. of",PRK,1962-01-01 00:00:00,-0.055
"Korea, Rep. of",KOR,1962-01-01 00:00:00,-0.094
Kuwait,KWT,1962-01-01 00:00:00,0.8
Lao People's Dem. Rep.,LAO,1962-01-01 00:00:00,-0.271
Lebanon,LBN,1962-01-01 00:00:00,0.852
"Lesotho, Kingdom of",LSO,1962-01-01 00:00:00,0.272
Liberia,LBR,1962-01-01 00:00:00,-0.074
Libya,LBY,1962-01-01 00:00:00,0.208
Liechtenstein,LIE,1962-01-01 00:00:00,-0.483
"Madagascar, Rep. of",MDG,1962-01-01 00:00:00,-0.117
Malawi,MWI,1962-01-01 00:00:00,-0.149
Malaysia,MYS,1962-01-01 00:00:00,-0.085
Maldives,MDV,1962-01-01 00:00:00,-0.061
Mali,MLI,1962-01-01 00:00:00,-0.145
Malta,MLT,1962-01-01 00:00:00,0.35
Martinique,MTQ,1962-01-01 00:00:00,0.151
"Mauritania, Islamic Rep. of",MRT,1962-01-01 00:00:00,0.14
Mauritius,MUS,1962-01-01 00:00:00,-0.111
Mayotte,MYT,1962-01-01 00:00:00,0.028
Mexico,MEX,1962-01-01 00:00:00,0.19
Monaco,MCO,1962-01-01 00:00:00,-0.048
Mongolia,MNG,1962-01-01 00:00:00,-0.106
Montserrat,MSR,1962-01-01 00:00:00,0.031
Morocco,MAR,1962-01-01 00:00:00,0.401
"Mozambique, Rep. of",MOZ,1962-01-01 00:00:00,0.031
Myanmar,MMR,1962-01-01 00:00:00,-0.112
Namibia,NAM,1962-01-01 00:00:00,-0.051
Nepal,NPL,1962-01-01 00:00:00,-0.448
"Netherlands, The",NLD,1962-01-01 00:00:00,-0.908
New Caledonia,NCL,1962-01-01 00:00:00,0.081
New Zealand,NZL,1962-01-01 00:00:00,0.581
Nicaragua,NIC,1962-01-01 00:00:00,-0.329
Niger,NER,1962-01-01 00:00:00,-0.135
Nigeria,NGA,1962-01-01 00:00:00,-0.247
Niue,NIU,1962-01-01 00:00:00,-0.291
Norfolk Island,NFK,1962-01-01 00:00:00,0.396
Norway,NOR,1962-01-01 00:00:00,-0.776
Oman,OMN,1962-01-01 00:00:00,0.338
Pakistan,PAK,1962-01-01 00:00:00,-0.242
Papua New Guinea,PNG,1962-01-01 00:00:00,0.241
Paraguay,PRY,1962-01-01 00:00:00,-0.663
Peru,PER,1962-01-01 00:00:00,-0.116
Philippines,PHL,1962-01-01 00:00:00,-0.113
Pitcairn Islands,PCN,1962-01-01 00:00:00,0.128
"Poland, Rep. of",POL,1962-01-01 00:00:00,-0.515
Portugal,PRT,1962-01-01 00:00:00,0.524
Puerto Rico,PRI,1962-01-01 00:00:00,-0.098
Qatar,QAT,1962-01-01 00:00:00,0.518
Romania,ROU,1962-01-01 00:00:00,0.169
Rwanda,RWA,1962-01-01 00:00:00,-0.291
Saint Helena,SHN,1962-01-01 00:00:00,-0.07
Saint Pierre and Miquelon,SPM,1962-01-01 00:00:00,-0.121
Samoa,WSM,1962-01-01 00:00:00,-0.012
"San Marino, Rep. of",SMR,1962-01-01 00:00:00,-0.116
"São Tomé and Príncipe, Dem. Rep. of",STP,1962-01-01 00:00:00,-0.054
Saudi Arabia,SAU,1962-01-01 00:00:00,0.688
Senegal,SEN,1962-01-01 00:00:00,-0.023
Seychelles,SYC,1962-01-01 00:00:00,0.088
Sierra Leone,SLE,1962-01-01 00:00:00,-0.084
Solomon Islands,SLB,1962-01-01 00:00:00,0.093
Somalia,SOM,1962-01-01 00:00:00,-0.028
South Africa,ZAF,1962-01-01 00:00:00,0.215
Spain,ESP,1962-01-01 00:00:00,0.411
Sri Lanka,LKA,1962-01-01 00:00:00,-0.092
St. Kitts and Nevis,KNA,1962-01-01 00:00:00,0.031
St. Lucia,LCA,1962-01-01 00:00:00,0.111
St. Vincent and the Grenadines,VCT,1962-01-01 00:00:00,0.063
Suriname,SUR,1962-01-01 00:00:00,-0.046
Sweden,SWE,1962-01-01 00:00:00,-0.69
Switzerland,CHE,1962-01-01 00:00:00,-0.357
Syrian Arab Rep.,SYR,1962-01-01 00:00:00,0.998
Taiwan Province of China,TWN,1962-01-01 00:00:00,-0.16
"Tanzania, United Rep. of",TZA,1962-01-01 00:00:00,-0.26
Thailand,THA,1962-01-01 00:00:00,-0.164
"Timor-Leste, Dem. Rep. of",TLS,1962-01-01 00:00:00,-0.014
Togo,TGO,1962-01-01 00:00:00,-0.156
Tokelau,TKL,1962-01-01 00:00:00,0.113
Tonga,TON,1962-01-01 00:00:00,-0.183
Trinidad and Tobago,TTO,1962-01-01 00:00:00,-0.139
Tunisia,TUN,1962-01-01 00:00:00,0.152
Turks and Caicos Islands,TCA,1962-01-01 00:00:00,-0.227
Tuvalu,TUV,1962-01-01 00:00:00,0.085
Uganda,UGA,1962-01-01 00:00:00,-0.295
United Arab Emirates,ARE,1962-01-01 00:00:00,0.538
United Kingdom,GBR,1962-01-01 00:00:00,-0.734
United States,USA,1962-01-01 00:00:00,-0.026
United States Virgin Islands,VIR,1962-01-01 00:00:00,-0.082
Uruguay,URY,1962-01-01 00:00:00,-0.473
Vanuatu,VUT,1962-01-01 00:00:00,0.092
"Venezuela, Rep. Bolivariana de",VEN,1962-01-01 00:00:00,-0.113
Vietnam,VNM,1962-01-01 00:00:00,-0.24
Wallis and Futuna Islands,WLF,1962-01-01 00:00:00,-0.051
West Bank and Gaza,PSE,1962-01-01 00:00:00,0.822
Western Sahara,ESH,1962-01-01 00:00:00,0.576
World,WLD,1962-01-01 00:00:00,0.038
"Yemen, Rep. of",YEM,1962-01-01 00:00:00,-0.009
Zambia,ZMB,1962-01-01 00:00:00,-0.168
Zimbabwe,ZWE,1962-01-01 00:00:00,0.237
"Afghanistan, Islamic Rep. of",AFG,1963-01-01 00:00:00,0.847
Albania,ALB,1963-01-01 00:00:00,0.075
Algeria,DZA,1963-01-01 00:00:00,0.077
American Samoa,ASM,1963-01-01 00:00:00,0.169
"Andorra, Principality of",AND,1963-01-01 00:00:00,-0.752
Angola,AGO,1963-01-01 00:00:00,-0.19
Anguilla,AIA,1963-01-01 00:00:00,0.234
Antigua and Barbuda,ATG,1963-01-01 00:00:00,0.288
Argentina,ARG,1963-01-01 00:00:00,0.162
"Aruba, Kingdom of the Netherlands",ABW,1963-01-01 00:00:00,0.084
Australia,AUS,1963-01-01 00:00:00,-0.096
Austria,AUT,1963-01-01 00:00:00,-0.727
"Bahamas, The",BHS,1963-01-01 00:00:00,-0.097
"Bahrain, Kingdom of",BHR,1963-01-01 00:00:00,0.635
Bangladesh,BGD,1963-01-01 00:00:00,-0.09
Barbados,BRB,1963-01-01 00:00:00,0.2
Belize,BLZ,1963-01-01 00:00:00,-0.06
Benin,BEN,1963-01-01 00:00:00,0.152
Bhutan,BTN,1963-01-01 00:00:00,-0.22
Bolivia,BOL,1963-01-01 00:00:00,0.409
Botswana,BWA,1963-01-01 00:00:00,-0.472
Brazil,BRA,1963-01-01 00:00:00,0.158
British Virgin Islands,VGB,1963-01-01 00:00:00,0.189
Brunei Darussalam,BRN,1963-01-01 00:00:00,-0.165
Bulgaria,BGR,1963-01-01 00:00:00,-0.248
Burkina Faso,BFA,1963-01-01 00:00:00,0.168
Burundi,BDI,1963-01-01 00:00:00,-0.007
Cabo Verde,CPV,1963-01-01 00:00:00,0.47
Cambodia,KHM,1963-01-01 00:00:00,-0.309
Cameroon,CMR,1963-01-01 00:00:00,0.126
Canada,CAN,1963-01-01 00:00:00,0.335
Cayman Islands,CYM,1963-01-01 00:00:00,-0.303
Central African Rep.,CAF,1963-01-01 00:00:00,0.037
Chad,TCD,1963-01-01 00:00:00,0.291
Chile,CHL,1963-01-01 00:00:00,0.054
"China, P.R.: Hong Kong",HKG,1963-01-01 00:00:00,0.33
"China, P.R.: Macao",MAC,1963-01-01 00:00:00,0.33
"China, P.R.: Mainland",CHN,1963-01-01 00:00:00,0.289
Colombia,COL,1963-01-01 00:00:00,-0.058
"Comoros, Union of the",COM,1963-01-01 00:00:00,-0.248
"Congo, Dem. Rep. of the",COD,1963-01-01 00:00:00,-0.038
"Congo, Rep. of",COG,1963-01-01 00:00:00,0.12
Cook Islands,COK,1963-01-01 00:00:00,-0.099
Cuba,CUB,1963-01-01 00:00:00,-0.127
Cyprus,CYP,1963-01-01 00:00:00,0.691
Denmark,DNK,1963-01-01 00:00:00,-1.019
Djibouti,DJI,1963-01-01 00:00:00,0.045
Dominica,DMA,1963-01-01 00:00:00,0.256
Dominican Rep.,DOM,1963-01-01 00:00:00,-0.017
Ecuador,ECU,1963-01-01 00:00:00,-0.062
"Egypt, Arab Rep. of",EGY,1963-01-01 00:00:00,0.628
El Salvador,SLV,1963-01-01 00:00:00,-0.157
"Equatorial Guinea, Rep. of",GNQ,1963-01-01 00:00:00,0.238
"Eswatini, Kingdom of",SWZ,1963-01-01 00:00:00,-0.21
Falkland Islands (Malvinas),FLK,1963-01-01 00:00:00,-0.286
Faroe Islands,FRO,1963-01-01 00:00:00,-0.056
"Fiji, Rep. of",FJI,1963-01-01 00:00:00,-0.046
Finland,FIN,1963-01-01 00:00:00,-0.401
France,FRA,1963-01-01 00:00:00,-0.955
French Polynesia,PYF,1963-01-01 00:00:00,0.037
Gabon,GAB,1963-01-01 00:00:00,0.232
"Gambia, The",GMB,1963-01-01 00:00:00,0.13
Germany,DEU,1963-01-01 00:00:00,-1.084
Ghana,GHA,1963-01-01 00:00:00,0.141
Gibraltar,GIB,1963-01-01 00:00:00,0.022
Greece,GRC,1963-01-01 00:00:00,0.305
Greenland,GRL,1963-01-01 00:00:00,0.308
Grenada,GRD,1963-01-01 00:00:00,0.309
Guadeloupe,GLP,1963-01-01 00:00:00,0.249
Guatemala,GTM,1963-01-01 00:00:00,-0.096
Guinea,GIN,1963-01-01 00:00:00,0.16
Guinea-Bissau,GNB,1963-01-01 00:00:00,0.157
Guyana,GUY,1963-01-01 00:00:00,-0.188
Haiti,HTI,1963-01-01 00:00:00,-0.111
Holy See,VAT,1963-01-01 00:00:00,-0.137
Honduras,HND,1963-01-01 00:00:00,-0.229
Hungary,HUN,1963-01-01 00:00:00,-0.463
Iceland,ISL,1963-01-01 00:00:00,-0.091
India,IND,1963-01-01 00:00:00,-0.03
Indonesia,IDN,1963-01-01 00:00:00,-0.134
"Iran, Islamic Rep. of",IRN,1963-01-01 00:00:00,0.755
Iraq,IRQ,1963-01-01 00:00:00,0.433
Ireland,IRL,1963-01-01 00:00:00,-0.773
Isle of Man,IMN,1963-01-01 00:00:00,-0.82
Israel,ISR,1963-01-01 00:00:00,0.842
Italy,ITA,1963-01-01 00:00:00,-0.365
Jamaica,JAM,1963-01-01 00:00:00,-0.116
Japan,JPN,1963-01-01 00:00:00,-0.053
Jordan,JOR,1963-01-01 00:00:00,0.784
Kenya,KEN,1963-01-01 00:00:00,-0.191
Kiribati,KIR,1963-01-01 00:00:00,-0.073
"Korea, Dem. People's Rep. of",PRK,1963-01-01 00:00:00,-0.105
"Korea, Rep. of",KOR,1963-01-01 00:00:00,-0.472
Kuwait,KWT,1963-01-01 00:00:00,0.485
Lao People's Dem. Rep.,LAO,1963-01-01 00:00:00,-0.412
Lebanon,LBN,1963-01-01 00:00:00,0.749
"Lesotho, Kingdom of",LSO,1963-01-01 00:00:00,0.026
Liberia,LBR,1963-01-01 00:00:00,0.154
Libya,LBY,1963-01-01 00:00:00,0.23
Liechtenstein,LIE,1963-01-01 00:00:00,-0.775
"Madagascar, Rep. of",MDG,1963-01-01 00:00:00,-0.31
Malawi,MWI,1963-01-01 00:00:00,-0.427
Malaysia,MYS,1963-01-01 00:00:00,-0.107
Mali,MLI,1963-01-01 00:00:00,0.213
Malta,MLT,1963-01-01 00:00:00,-0.204
